"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NAV_ID","NAV_TYPE","BEARING","DISTANCE","File","Action","Mods"
"2026/05/14","FORXS","K2","UT","US","UTJ","LOC","163.95","0.19","2","Modified","DISTANCE"
"2026/04/16","FROLY","K6","MA","US","EWB","LOC","234.45","5.33","1","Modified","BEARING"
"2026/05/14","FROLY","K6","MA","US","EWB","LOC","234.44","5.33","2","Modified","BEARING"
"2026/04/16","FRYII","K5","MI","US","PLN","VORTAC","65","14.71","2","Deleted",""
"2026/04/16","FRYII","K5","MI","US","SSM","VOR/DME","187","39.4","2","Deleted",""
"2026/04/16","GARON","K7","AL","US","BFM","VORTAC","310.04","6","2","Deleted",""
"2026/04/16","GARYS","K4","TX","US","RUM","LOC","","","1","Modified","BEARING"
"2026/05/14","GARYS","K4","TX","US","RUM","LOC","305.87","","2","Modified","BEARING"
"2026/04/16","GEBEC","K2","NM","US","CNM","VORTAC","145","13","2","Deleted",""
"2026/04/16","GEBEL","K3","SD","US","MHE","VOR/DME","297.21","2.2","2","Deleted",""
"2026/04/16","GHIIA","K4","LA","US","AEX","VORTAC","146.98","6","2","Deleted",""
"2026/04/16","GILBA","K5","OH","US","FBC","VORTAC","297.99","6","2","Deleted",""
"2026/04/16","GIRSE","K5","OH","US","ROD","VORTAC","68.89","11.87","2","Deleted",""
"2026/04/16","GOKKE","K4","LA","US","LFT","VORTAC","197.08","14.2","2","Deleted",""
"2026/04/16","GOPLY","K4","TX","US","CLL","VORTAC","242.99","11","2","Deleted",""
"2026/04/16","GOVEC","K4","TX","US","TYR","VOR/DME","124.99","0.57","2","Deleted",""
"2026/04/16","GROVY","K3","MN","US","AEL","VOR/DME","353","5","2","Deleted",""
"2026/04/16","HADUX","K6","CT","US","ORW","VOR/DME","317.29","","2","Deleted",""
"2026/04/16","HAKRE","K3","SD","US","ABR","VOR/DME","305.23","16","2","Deleted",""
"2026/04/16","HAROD","K5","IN","US","MIE","VOR/DME","14.88","10","2","Deleted",""
"2026/04/16","HAROD","K5","IN","US","MZZ","VOR/DME","113.1","","2","Deleted",""
"2026/04/16","HARTZ","K5","MI","US","CRL","VOR/DME","294.25","","2","Deleted",""
"2026/04/16","HARTZ","K5","MI","US","SVM","VORTAC","215","18.3","2","Deleted",""
"2026/04/16","HATNI","K3","SD","US","ELR","LOC","310.06","","1","Modified","BEARING"
"2026/05/14","HATNI","K3","SD","US","ELR","LOC","310.09","","2","Modified","BEARING"
"2026/04/16","HAUWK","K4","LA","US","LFT","VORTAC","342.67","17","2","Deleted",""
"2026/04/16","HAZKU","K5","IN","US","FWA","VORTAC","245","19.73","2","Deleted",""
"2026/04/16","HEIST","K5","MI","US","GIJ","VORTAC","0.81","8","2","Deleted",""
"2026/04/16","HELOW","K5","IN","US","OOM","VORTAC","159","7","2","Deleted",""
"2026/04/16","HESAB","K7","NC","US","SVH","LOC","104.84","6.2","1","Modified","BEARING DISTANCE"
"2026/05/14","HESAB","K7","NC","US","SVH","LOC","104.85","6.22","2","Modified","BEARING DISTANCE"
"2026/04/16","HICNY","K4","LA","US","MLU","VORTAC","266.7","23","2","Deleted",""
"2026/04/16","HIDER","K4","AR","US","LIT","VORTAC","263.38","","2","Deleted",""
"2026/04/16","HINES","K5","OH","US","DQN","VOR/DME","358.77","","2","Deleted",""
"2026/04/16","HINES","K5","OH","US","FBC","VORTAC","242.63","35.31","2","Deleted",""
"2026/04/16","HIPOL","K4","TX","US","FUZ","VORTAC","279.67","18.25","1","Modified","BEARING"
"2026/05/14","HIPOL","K4","TX","US","FUZ","VORTAC","276.67","18.25","2","Modified","BEARING"
"2026/04/16","HIVAX","K5","IN","US","CGT","VORTAC","83.9","5.9","2","Deleted",""
"2026/04/16","HIWAY","K5","IN","US","FWA","VORTAC","349.3","","2","Deleted",""
"2026/04/16","HIWAY","K5","IN","US","OLK","VOR","114.44","","2","Deleted",""
"2026/04/16","HLMET","K2","UT","US","BNT","LOC","","20.89","2","Deleted",""
"2026/04/16","HLMET","K2","UT","US","UTJ","LOC","163.95","","1","Modified","DISTANCE"
"2026/05/14","HLMET","K2","UT","US","UTJ","LOC","163.95","20.89","2","Modified","DISTANCE"
"2026/04/16","HOBIG","K5","WI","US","DLL","VORTAC","128.98","","2","Deleted",""
"2026/04/16","HOBIG","K5","WI","US","DQJ","LOC","34.42","6.11","1","Modified","DISTANCE"
"2026/05/14","HOBIG","K5","WI","US","DQJ","LOC","34.42","5.87","2","Modified","DISTANCE"
"2026/04/16","HOUSR","K5","OH","US","AIR","VOR/DME","229.46","14","2","Deleted",""
"2026/04/16","HUDDS","K3","MN","US","ODI","VORTAC","248.91","11","2","Deleted",""
"2026/04/16","HUGUN","K2","AZ","US","RYN","NDB","254.47","","2","Deleted",""
"2026/04/16","HUGUN","K2","AZ","US","TUS","VORTAC","","28","2","Deleted",""
"2026/04/16","HUTIT","K7","AL","US","BFM","VORTAC","310.04","3.44","2","Deleted",""
"2026/04/16","ICENU","K7","NC","US","SVH","LOC","104.84","3.6","1","Modified","BEARING DISTANCE"
"2026/05/14","ICENU","K7","NC","US","SVH","LOC","104.85","3.63","2","Modified","BEARING DISTANCE"
"2026/04/16","IDOHY","K4","OK","US","IRW","VORTAC","299.84","12.81","2","Deleted",""
"2026/04/16","IKABE","K3","MN","US","AEL","VOR/DME","162","11","2","Deleted",""
"2026/04/16","INDEP","K7","TN","US","LVT","VOR/DME","216.25","8","2","Deleted",""
"2026/04/16","INDOO","K4","TX","US","FZT","VOR/DME","2.7","20.66","2","Deleted",""
"2026/04/16","INDOO","K4","TX","US","GGG","VORTAC","262.99","36.37","2","Deleted",""
"2026/04/16","INDOO","K4","TX","US","TYR","VOR/DME","310.96","4.9","2","Deleted",""
"2026/04/16","INILE","K5","WI","US","RHI","VOR/DME","101","5","2","Deleted",""
"2026/04/16","INNDY","K6","MA","US","SEY","VOR/DME","45.54","42.16","1","Modified","BEARING DISTANCE"
"2026/05/14","INNDY","K6","MA","US","SEY","VOR/DME","45.55","42.17","2","Modified","BEARING DISTANCE"
"2026/04/16","ISYOH","K2","CA","US","CCR","VOR/DME","20","24.17","2","Deleted",""
"2026/04/16","ISYOH","K2","CA","US","SAC","VORTAC","225.16","","2","Deleted",""
"2026/04/16","ITECO","K4","LA","US","BAD","LOC","149.44","","1","Modified","BEARING"
"2026/05/14","ITECO","K4","LA","US","BAD","LOC","149.42","","2","Modified","BEARING"
"2026/04/16","ITECO","K4","LA","US","BAD","TACAN","","7.04","1","Modified","BEARING DISTANCE"
"2026/05/14","ITECO","K4","LA","US","BAD","TACAN","147.91","7.16","2","Modified","BEARING DISTANCE"
"2026/04/16","IZANO","K4","AR","US","TXK","VORTAC","52.05","12.56","2","Deleted",""
"2026/04/16","JABAB","K4","TX","US","MQP","VORTAC","89.03","28.38","2","Deleted",""
"2026/04/16","JALEB","K2","NM","US","CNM","VORTAC","223.5","13","2","Deleted",""
"2026/04/16","JAMMS","K3","IA","US","CID","VOR/DME","99.44","24","2","Deleted",""
"2026/04/16","JAMMS","K3","IA","US","IOW","VOR/DME","38.95","","2","Deleted",""
"2026/04/16","JANEE","K5","OH","US","ROD","VORTAC","243","9","2","Deleted",""
"2026/04/16","JAROT","K5","IN","US","FWA","VORTAC","244.92","14.73","2","Deleted",""
"2026/04/16","JEDRI","K5","OH","US","ROD","VORTAC","68.49","5.86","2","Deleted",""
"2026/04/16","JEGUP","K3","MN","US","GFK","VOR/DME","97.23","8.44","2","Deleted",""
"2026/04/16","JELBI","K4","LA","US","AEX","VORTAC","139.5","8.8","2","Deleted",""
"2026/04/16","JELID","K5","KY","US","HYK","VOR/DME","288.22","","1","Modified","BEARING"
"2026/05/14","JELID","K5","KY","US","HYK","VOR/DME","287.81","","2","Modified","BEARING"
"2026/04/16","JEVGA","K6","VA","US","ASO","LOC","329","3.5","2","Deleted",""
"2026/04/16","JEVGA","K6","VA","US","BAL","VORTAC","242.21","","2","Deleted",""
"2026/04/16","JEXIR","K3","MN","US","MOX","VOR/DME","135.1","2.3","2","Deleted",""
"2026/04/16","JIMMY","K6","VA","US","HCM","VORTAC","134","","2","Deleted",""
"2026/04/16","JIMMY","K6","VA","US","ORF","VORTAC","41","11.81","2","Deleted",""
"2026/04/16","JIMOB","K5","WI","US","RHI","VOR/DME","101","8","2","Deleted",""
"2026/04/16","JITOB","K3","MN","US","TVF","VOR/DME","297","12","2","Deleted",""
