"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW","File","Action","Mods"
"2026/05/14","04225.33","H","ID","1ID5","KETCHUM","US","H1","40","40","CONC","FAIR","NONE","","","","","","PERI","OWNER","2001/02/16","","","","","2","Modified","COND"
"2026/04/16","04342.1","A","ID","0ID","THATCHER","US","17/35","1350","48","GRVL","","NONE","","","","","","","OWNER","","","","","","1","Modified","COND"
"2026/05/14","04342.1","A","ID","0ID","THATCHER","US","17/35","1350","48","GRVL","POOR","NONE","","","","","","","OWNER","","","","","","2","Modified","COND"
"2026/04/16","04614.","A","IL","1H2","EFFINGHAM","US","01/19","3400","60","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2024/10/20","12","","","","1","Modified","RWY_LEN"
"2026/05/14","04614.","A","IL","1H2","EFFINGHAM","US","01/19","3399","60","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2024/10/20","12","","","","2","Modified","RWY_LEN"
"2026/04/16","04614.","A","IL","1H2","EFFINGHAM","US","11/29","5103","100","CONC","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2024/10/20","","","","","1","Modified","RWY_LEN"
"2026/05/14","04614.","A","IL","1H2","EFFINGHAM","US","11/29","6002","100","CONC","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2024/10/20","","","","","2","Modified","RWY_LEN"
"2026/04/16","05597.51","A","IN","II26","REMINGTON","US","18/36","2200","60","TURF","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","05649.13","A","IN","IN49","SHELBYVILLE","US","18/36","2100","50","TURF","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","05895.2","A","IA","CCY","CHARLES CITY","US","04/22","2536","160","TURF","GOOD","NONE","","","","","","","FAA-EST","2012/04/19","","","","","1","Modified","RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","05895.2","A","IA","CCY","CHARLES CITY","US","04/22","2536","160","TURF","GOOD","NONE","","","","","","","3RD PARTY SURVEY","2024/10/31","","","","","2","Modified","RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","05895.2","A","IA","CCY","CHARLES CITY","US","12/30","4000","75","CONC","GOOD","NONE","7","R","C","W","U","MED","3RD PARTY SURVEY","2008/12/17","30","","","","1","Modified","LENGTH_SOURCE_DATE"
"2026/05/14","05895.2","A","IA","CCY","CHARLES CITY","US","12/30","4000","75","CONC","GOOD","NONE","7","R","C","W","U","MED","3RD PARTY SURVEY","2024/10/31","30","","","","2","Modified","LENGTH_SOURCE_DATE"
"2026/04/16","06870.52","A","KS","02KS","ST MARYS","US","11/29","1650","100","TURF","","NONE","","","","","","MED","ARPTS CONTRACTOR","2008/06/04","","","","","1","Modified","RWY_LGT_CODE"
"2026/05/14","06870.52","A","KS","02KS","ST MARYS","US","11/29","1650","100","TURF","","NONE","","","","","","","ARPTS CONTRACTOR","2008/06/04","","","","","2","Modified","RWY_LGT_CODE"
"2026/04/16","06870.52","A","KS","02KS","ST MARYS","US","18/36","1950","150","TURF","","NONE","","","","","","MED","","","","","","","1","Modified","RWY_LGT_CODE"
"2026/05/14","06870.52","A","KS","02KS","ST MARYS","US","18/36","1950","150","TURF","","NONE","","","","","","","","","","","","","2","Modified","RWY_LGT_CODE"
"2026/04/16","07244.","A","KY","LOU","LOUISVILLE","US","06/24","4358","75","ASPH","FAIR","NONE","","","","","","MED","3RD PARTY SURVEY","2023/02/28","30","","","","1","Modified","TREATMENT_CODE"
"2026/05/14","07244.","A","KY","LOU","LOUISVILLE","US","06/24","4358","75","ASPH","FAIR","GRVD","","","","","","MED","3RD PARTY SURVEY","2023/02/28","30","","","","2","Modified","TREATMENT_CODE"
"2026/04/16","07357.01","H","KY","6KY9","RUSSELL","US","H1","50","50","CONC","","NONE","","","","","","PERI","OWNER","2010/04/08","","","","","2","Deleted",""
"2026/04/16","07424.8","H","LA","04LS","BATON ROUGE","US","H1","60","60","CONC","FAIR","NONE","","","","","","","NGS-CALCULATED","2003/04/08","","","","","1","Modified","RWY_LEN RWY_WIDTH RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/05/14","07424.8","H","LA","04LS","BATON ROUGE","US","H1","120","180","CONC","FAIR","NONE","","","","","","","OWNER","2026/03/19","","","","","2","Modified","RWY_LEN RWY_WIDTH RWY_LEN_SOURCE LENGTH_SOURCE_DATE"
"2026/04/16","07436.","A","LA","BXA","BOGALUSA","US","18/36","5002","100","ASPH","EXCELLENT","NONE","","","","","","MED","NGS","1990/04/24","22","","","","1","Modified","COND"
"2026/05/14","07436.","A","LA","BXA","BOGALUSA","US","18/36","5002","100","ASPH","POOR","NONE","","","","","","MED","NGS","1990/04/24","22","","","","2","Modified","COND"
"2026/04/16","07673.","A","LA","NBG","NEW ORLEANS","US","04/22","10000","200","PEM","GOOD","NONE","41","R","B","W","T","HIGH","MILITARY","2019/03/31","","","","","1","Modified","SUBGRADE_STRENGTH_CODE"
