"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST","File","Action","Mods"
"2026/04/16","HOUSR INT*OH*K5","1","OH","US","HOUSR","K5","AIR","VOR/DME","NE","49","RAD","229","R","","2","Deleted",""
"2026/04/16","HUDDS INT*MN*K3","1","MN","US","HUDDS","K3","ODI","VORTAC","E","249","RAD","249","R","","2","Deleted",""
"2026/04/16","INDOO INT*TX*K4","1","TX","US","INDOO","K4","TYR","VOR/DME","NW","311","RAD","131","R","","2","Deleted",""
"2026/04/16","ISICE WP*TX*K4","1","TX","US","ISICE","K4","","","SE","133","RNAV","313","R","4","1","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","ISICE WP*TX*K4","1","TX","US","ISICE","K4","","","SE","137","RNAV","317","R","4","2","Modified","HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","ITMOR WP*CA*K2","2","CA","US","ITMOR","K2","","","S","1","RNAV","1","L","5","2","Deleted",""
"2026/04/16","IZANO INT*AR*K4","1","AR","US","IZANO","K4","TXK","VORTAC","SW","52","RAD","52","R","","2","Deleted",""
"2026/04/16","JAMESTOWN VOR/DME*NY","1","NY","US","","","JHW","VOR/DME","E","78","RAD","258","R","","2","Deleted",""
"2026/04/16","JIMMY INT*VA*K6","1","VA","US","JIMMY","K6","ORF","VORTAC","NE","41","RAD","221","L","","2","Deleted",""
"2026/04/16","JIMMY WP*VA*K6","2","VA","US","JIMMY","K6","","","NE","41","RNAV","221","L","4","2","Deleted",""
"2026/04/16","JOGPU WP*MO*K3","1","MO","US","JOGPU","K3","","","NW","319","RNAV","139","R","4","2","Deleted",""
"2026/04/16","JOLIET VOR/DME*IL","6","","","","","","","SE","137","RNAV","317","R","4","1","Modified","STATE_CODE COUNTRY_CODE NAV_ID NAV_TYPE"
"2026/05/14","JOLIET VOR/DME*IL","6","IL","US","","","JOT","VOR/DME","SE","137","RNAV","317","R","4","2","Modified","STATE_CODE COUNTRY_CODE NAV_ID NAV_TYPE"
"2026/04/16","JOTED INT*AZ*K2","1","AZ","US","JOTED","K2","RYN","NDB","W","254","BRG","74","L","","2","Deleted",""
"2026/04/16","KATTO INT*MN*K3","1","MN","US","KATTO","K3","TVF","VOR/DME","NW","297","RAD","117","R","","2","Deleted",""
"2026/04/16","KEGLY INT*WV*K6","1","WV","US","KEGLY","K6","BLF","VOR/DME","S","340","RAD","340","L","","2","Deleted",""
"2026/04/16","KIRKSVILLE VORTAC*MO","1","MO","US","","","IRK","VORTAC","NW","314","RAD","134","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG TURN_DIRECTION"
"2026/05/14","KIRKSVILLE VORTAC*MO","1","MO","US","","","IRK","VORTAC","W","248","RAD","68","L","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG TURN_DIRECTION"
"2026/04/16","KIRKSVILLE VORTAC*MO","2","MO","US","","","IRK","VORTAC","W","248","RAD","68","L","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
