"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","FIX_ID_OLD","CHARTING_REMARK","FIX_USE_CODE","ARTCC_ID_HIGH","ARTCC_ID_LOW","PITCH_FLAG","CATCH_FLAG","SUA_ATCAA_FLAG","MIN_RECEP_ALT","COMPULSORY","CHARTS","File","Action","Mods"
"2026/05/14","CASTA","K2","CA","US","34","31","58.07","N","34.53279722","118","43","35.73","W","-118.72659166","","RNAV","RP   ","ZLA","ZLA","N","N","N","","","AREA,CONTROLLER LOW,ENROUTE LOW,IAP,SID","2","Modified","CHARTS"
"2026/04/16","CASTY","K5","OH","US","41","3","52.63","N","41.06461944","83","35","23.02","W","-83.58972777","","","RP   ","ZOB","ZOB","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CASUP","K4","OK","US","36","29","18.76","N","36.48854444","97","14","44.22","W","-97.24561666","","","RP   ","ZKC","ZKC","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CATCS","K4","LA","US","31","9","28.47","N","31.15790833","92","20","39.45","W","-92.34429166","","","RP   ","ZHU","ZHU","N","N","N","","","ENROUTE LOW,IAP","1","Modified","CHARTS"
"2026/05/14","CATCS","K4","LA","US","31","9","28.47","N","31.15790833","92","20","39.45","W","-92.34429166","","","RP   ","ZHU","ZHU","N","N","N","","","CONTROLLER LOW,ENROUTE LOW,IAP","2","Modified","CHARTS"
"2026/04/16","CATTS","K3","KS","US","39","18","11.59","N","39.30321944","96","9","13.69","W","-96.15380277","","","RP   ","ZKC","ZKC","Y","N","N","","","CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID","1","Modified","CHARTING_REMARK"
"2026/05/14","CATTS","K3","KS","US","39","18","11.59","N","39.30321944","96","9","13.69","W","-96.15380277","","RNAV","RP   ","ZKC","ZKC","Y","N","N","","","CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,SID","2","Modified","CHARTING_REMARK"
"2026/04/16","CAVOK","K5","MI","US","43","24","27.22","N","43.40756111","84","42","10.81","W","-84.70300277","","","RP   ","ZOB","ZOB","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CAVOX","K7","NC","US","36","28","21","N","36.4725","76","13","26.12","W","-76.22392222","","","WP   ","ZDC","ZDC","N","N","N","","","SPECIAL DP,SPECIAL IAP","2","Deleted",""
"2026/04/16","CAVRN","K4","TX","US","31","49","31.18","N","31.82532777","104","0","42.21","W","-104.011725","","RNAV","RP   ","ZAB","ZAB","N","N","N","","","CONTROLLER,ENROUTE HIGH,ENROUTE LOW,IAP","1","Modified","CHARTS"
"2026/05/14","CAVRN","K4","TX","US","31","49","31.18","N","31.82532777","104","0","42.21","W","-104.011725","","RNAV","RP   ","ZAB","ZAB","N","N","N","","","CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP","2","Modified","CHARTS"
"2026/04/16","CEGUL","K3","MN","US","44","29","1.59","N","44.483775","95","52","26.97","W","-95.87415833","","","RP   ","ZMP","ZMP","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CEMET","K4","TX","US","31","33","47.59","N","31.56321944","97","17","53.02","W","-97.29806111","","","RP   ","ZFW","ZFW","N","N","N","","","IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/05/14","CEMET","K4","TX","US","31","33","47.57","N","31.56321388","97","17","52.92","W","-97.29803333","","","RP   ","ZFW","ZFW","N","N","N","","","IAP","2","Modified","LAT_SEC LAT_DECIMAL LONG_SEC LONG_DECIMAL"
"2026/04/16","CEPED","K4","LA","US","32","40","39.07","N","32.67751944","91","55","50.59","W","-91.93071944","","","RP   ","ZFW","ZFW","N","N","N","","","IAP","2","Deleted",""
"2026/04/16","CEPIV","K7","NC","US","36","32","55.34","N","36.54870555","76","39","32.71","W","-76.65908611","","","MW   ","ZDC","ZDC","N","N","N","","","SPECIAL DP,SPECIAL IAP","1","Modified","LAT_SEC LAT_DECIMAL LONG_MIN LONG_SEC LONG_DECIMAL FIX_USE_CODE"
