"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC","File","Action","Mods"
"2026/04/16","SKEAT INT*IN*K5","1","IN","US","IAP","2","Deleted",""
"2026/04/16","SKIPP INT*FL*K7","1","FL","US","MILITARY IAP","2","Deleted",""
"2026/04/16","SKIPP WP*FL*K7","2","FL","US","MILITARY IAP","2","Deleted",""
"2026/04/16","SKYLA INT*TX*K4","1","TX","US","IAP","2","Deleted",""
"2026/04/16","SNOOP LOM*MO","1","MO","US","IAP","2","Deleted",""
"2026/04/16","SOCCA INT*KS*K3","1","KS","US","IAP","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","2","NM","US","IAP","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","3","NM","US","IAP","2","Deleted",""
"2026/04/16","SOCORRO VORTAC*NM","4","NM","US","SID","2","Deleted",""
"2026/04/16","SPENCER VOR/DME*IA","1","IA","US","IAP","2","Deleted",""
"2026/04/16","SPENCER VOR/DME*IA","2","IA","US","SPECIAL IAP","2","Deleted",""
"2026/04/16","SPENCER VOR/DME*IA","3","IA","US","IAP","2","Deleted",""
"2026/04/16","ST JOHNS VORTAC*AZ","1","AZ","US","IAP","2","Deleted",""
"2026/04/16","STUEE INT*LA*K4","1","LA","US","IAP","2","Deleted",""
"2026/04/16","STULL INT*SC*K7","1","SC","US","IAP","2","Deleted",""
"2026/04/16","STULL WP*SC*K7","3","SC","US","IAP","2","Deleted",""
"2026/04/16","STURGIS NDB*MI","1","MI","US","IAP","2","Deleted",""
"2026/04/16","STURGIS NDB*MI","2","MI","US","IAP","2","Deleted",""
"2026/04/16","SUNSHINE VOR/DME*MO","3","MO","US","IAP","2","Deleted",""
"2026/04/16","TIFFIN NDB*OH","1","OH","US","IAP","2","Deleted",""
"2026/04/16","UNIVERSITY NDB*OH","2","OH","US","IAP","2","Deleted",""
"2026/04/16","UNIVERSITY NDB*OH","3","OH","US","IAP","2","Deleted",""
"2026/04/16","VERSI INT*WV*K6","1","WV","US","IAP","2","Deleted",""
"2026/04/16","WADOD WP*OH*K5","1","OH","US","SPECIAL IAP","2","Deleted",""
"2026/04/16","WAHOO NDB*NE","1","NE","US","IAP","2","Deleted",""
"2026/04/16","WANDY INT*KS*K3","1","KS","US","IAP","2","Deleted",""
"2026/04/16","WAYNE COUNTY NDB*IL","1","IL","US","IAP","2","Deleted",""
"2026/04/16","WEBSTER LAKE VOR*IN","1","IN","US","IAP","2","Deleted",""
"2026/04/16","WILEY POST VOR/DME*OK","1","OK","US","IAP","2","Deleted",""
"2026/04/16","WINK VORTAC*TX","2","TX","US","IAP","2","Deleted",""
"2026/04/16","WIRUV INT*MN*K3","1","MN","US","IAP","2","Deleted",""
"2026/04/16","YIGUT WP*IL*K5","1","IL","US","IAP","2","Deleted",""
"2026/04/16","YORK NDB*NE","1","NE","US","IAP","2","Deleted",""
"2026/04/16","YORK NDB*NE","2","NE","US","IAP","2","Deleted",""
"2026/04/16","ZEDIN INT*OH*K5","1","OH","US","IAP","2","Deleted",""
"2026/04/16","ZEDIN WP*OH*K5","2","OH","US","IAP","2","Deleted",""
"2026/04/16","ZELEB INT*AR*K4","1","AR","US","IAP","2","Deleted",""
"2026/04/16","ZILOD INT*UT*K2","1","UT","US","IAP","2","Deleted",""
"2026/04/16","ZUMOV WP*PA*K6","1","PA","US","NOT REQUIRED","2","Deleted",""
"2026/04/16","ZUNMU INT*IA*K3","1","IA","US","IAP","2","Deleted",""
"2026/05/14","AFWAV WP*ND*K3","1","ND","US","IAP","2","Added",""
"2026/05/14","AKRON VOR/DME*OH","4","OH","US","NOT REQUIRED","2","Added",""
"2026/05/14","ALIXX WP*CT*K6","2","CT","US","STAR","2","Added",""
"2026/05/14","ALTUS VORTAC*OK","1","OK","US","MILITARY IAP","2","Added",""
"2026/05/14","ARCAD INT*OH*K5","1","OH","US","NOT REQUIRED","2","Added",""
"2026/05/14","BARTLESVILLE VOR/DME*OK","2","OK","US","NOT REQUIRED","2","Added",""
"2026/05/14","BISTE WP*NC*K7","1","NC","US","SPECIAL IAP","2","Added",""
"2026/05/14","BOUTN LOM*OH","3","","","IAP","2","Added",""
"2026/05/14","BRNLY INT*AK*PA","1","AK","US","MILITARY IAP","2","Added",""
"2026/05/14","BUDKE WP*NC*K7","1","NC","US","IAP","2","Added",""
"2026/05/14","BULLE INT*LA*K4","2","LA","US","MILITARY IAP","2","Added",""
"2026/05/14","BURLINGTON VOR/DME*IA","1","IA","US","IAP","2","Added",""
"2026/05/14","BURLINGTON VOR/DME*IA","2","IA","US","IAP","2","Added",""
"2026/05/14","BVRLY WP*MO*K3","2","MO","US","IAP","2","Added",""
"2026/05/14","CARLSBAD VORTAC*NM","2","NM","US","NOT REQUIRED","2","Added",""
"2026/05/14","CATTS INT*KS*K3","1","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","CATTS WP*KS*K3","2","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","CLANG WP*IN*K5","1","IN","US","STAR","2","Added",""
"2026/05/14","CLERY WP*MS*K7","2","MS","US","MILITARY STAR","2","Added",""
"2026/05/14","COLLEGE STATION VORTAC*TX","1","TX","US","NOT REQUIRED","2","Added",""
"2026/05/14","COPUP WP*LA*K4","1","LA","US","NOT REQUIRED","2","Added",""
"2026/05/14","COTULLA VORTAC*TX","2","TX","US","ENROUTE HIGH","2","Added",""
"2026/05/14","COTULLA VORTAC*TX","2","TX","US","ENROUTE LOW","2","Added",""
"2026/05/14","DACER INT*CA*K2","1","CA","US","IAP","2","Added",""
"2026/05/14","DALHART VORTAC*TX","1","TX","US","NOT REQUIRED","2","Added",""
