"Orig","Route String","Dest","Hours1","Type","Area","Altitude","Aircraft","Direction","Seq","DCNTR","ACNTR","File","Action","Mods"
"BWI","BWI DUKPN1 DONIL MAEVE Q439 SARDI RICED RICED4 DXR","DXR","","H","TO DXR, HPN","","","","1","ZDC","ZNY","1","Modified","Route String Aircraft"
"BWI","BWI DUKPN1 DONIL MAEVE EEGOR1 DXR","DXR","","H","TO DXR, HPN","","JETS ONLY RNAV 1 - DME/DME/IRU OR GPS","","1","ZDC","ZNY","2","Modified","Route String Aircraft"
"BWI","BWI DUKPN1 DONIL WNSTN T320 RICED RICED4 HPN","HPN","1100-0300","L","","110-170 INCL","TURBOJETS","","1","ZDC","ZNY","1","Modified","Route String Hours1 Area Aircraft"
"BWI","BWI DUKPN1 DONIL WNSTN T320 BRIGS EEGOR1 HPN","HPN","","L","TO DXR, HPN","110-170 INCL","JETS ONLY RNAV 1 - DME/DME/IRU OR GPS","","1","ZDC","ZNY","2","Modified","Route String Hours1 Area Aircraft"
"BWI","BWI FOXHL1 OTTTO FAIRR JBIZZ BRROW GAVNN LUK","LUK","","H","","","","","1","ZDC","ZID","1","Modified","Route String Area Aircraft"
"BWI","BWI FOXHL1 OTTTO COLNS GAVNN8 LUK","LUK","","H","TO CVG, HAO, LUK I69 ","","JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS","","1","ZDC","ZID","2","Modified","Route String Area Aircraft"
"BWI","BWI TERPZ8 MAULS Q40 NIOLA MERDN TRSSH1 MSY","MSY","1100-0300","H","TO MSY,NEW,NBG","","TURBOJETS","","1","ZDC","ZHU","1","Modified","Route String Hours1 Aircraft"
"BWI","BWI TERPZ8 MAULS Q40 NIOLA MERDN TRSSH2 MSY","MSY","","H","TO MSY,NEW,NBG","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS","","1","ZDC","ZHU","2","Modified","Route String Hours1 Aircraft"
"CAK","CAK JPU HVQ LNDIZ PARQR4 CLT","CLT","","H","","","","","1","ZOB","ZTL","1","Modified","Route String"
"CAK","CAK JPU HVQ LNDIZ PARQR5 CLT","CLT","","H","","","","","1","ZOB","ZTL","2","Modified","Route String"
"CCB","CCB PDZ PDZ270013 RNDAL V363 DANAH SXC AVX","AVX","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO AVX","JMPQ70","","","3","ZLA","ZLA","1","Modified","Route String"
"CCB","CCB PDZ V388 RNDAL V363 DANAH SXC AVX","AVX","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO AVX","JMPQ70","","","3","ZLA","ZLA","2","Modified","Route String"
"CCB","CCB PDZ V388 SLI FUL","FUL","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","3","ZLA","ZLA","1","Modified","Area"
"CCB","CCB PDZ V388 SLI FUL","FUL","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","3","ZLA","ZLA","2","Modified","Area"
"CCB","CCB PDZ POWUP HHR","HHR","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO HHR","JMPQ30","","","3","ZLA","ZLA","1","Modified","Area"
"CCB","CCB PDZ POWUP HHR","HHR","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO HHR","JMPQ30","","","3","ZLA","ZLA","2","Modified","Area"
"CCB","CCB PDZ V388 DOWDD LAX","LAX","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO LAX","JMPQ40","","","7","ZLA","ZLA","1","Modified","Route String Area"
"CCB","CCB PDZ V388 DOWDD FUELR LAX","LAX","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO LAX","JMPQ40","","","7","ZLA","ZLA","2","Modified","Route String Area"
"CCB","CCB PDZ V388 SLI V8 TANDY LAX","LAX","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO LAX (LAXE)","PQ40","","","8","ZLA","ZLA","1","Modified","Area"
"CCB","CCB PDZ V388 SLI V8 TANDY LAX","LAX","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO LAX (LAXE)","PQ40","","","8","ZLA","ZLA","2","Modified","Area"
"CCB","CCB PDZ V388 SLI LGB","LGB","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","1","Modified","Area"
"CCB","CCB PDZ V388 SLI LGB","LGB","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","2","Modified","Area"
"CCB","CCB PDZ V186 ROBNN V208 JLI RNM","RNM","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO RNM","JM110PQ70","","","3","ZLA","ZLA","1","Modified","Altitude"
"CCB","CCB PDZ V186 ROBNN V208 JLI RNM","RNM","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO RNM","JM110PQ90","","","3","ZLA","ZLA","2","Modified","Altitude"
