procedureKey,procedureType,procedurePathKey,routeName,routeNameFirstToken,routeNameLastToken,operationalStartRawPoint,operationalEndRawPoint,directionNameStatus
PROCEDURE:STAR:SLVER.SLVER1,STAR,PROC_PATH:PROCEDURE:STAR:SLVER.SLVER1:BODY:SLVER-EMKAA:1:,SLVER-EMKAA,SLVER,EMKAA,SLVER,EMKAA,matches_operational_endpoints
PROCEDURE:STAR:SNAAG.NEELL7,STAR,PROC_PATH:PROCEDURE:STAR:SNAAG.NEELL7:BODY:SNAAG-AINKK:1:,SNAAG-AINKK,SNAAG,AINKK,SNAAG,AINKK,matches_operational_endpoints
PROCEDURE:STAR:SNAAG.NEELL7,STAR,PROC_PATH:PROCEDURE:STAR:SNAAG.NEELL7:BODY:SNAAG-ELIAS:1:,SNAAG-ELIAS,SNAAG,ELIAS,SNAAG,ELIAS,matches_operational_endpoints
PROCEDURE:STAR:SNAAG.NEELL7,STAR,PROC_PATH:PROCEDURE:STAR:SNAAG.NEELL7:BODY:SNAAG-GLDNN:1:,SNAAG-GLDNN,SNAAG,GLDNN,SNAAG,GLDNN,matches_operational_endpoints
PROCEDURE:STAR:SNDBR.SNDBR3,STAR,PROC_PATH:PROCEDURE:STAR:SNDBR.SNDBR3:BODY:SNDBR-CJAAY:1:,SNDBR-CJAAY,SNDBR,CJAAY,SNDBR,CJAAY,matches_operational_endpoints
PROCEDURE:STAR:SNDBR.SNDBR3,STAR,PROC_PATH:PROCEDURE:STAR:SNDBR.SNDBR3:BODY:SNDBR-LLEGG:1:,SNDBR-LLEGG,SNDBR,LLEGG,SNDBR,LLEGG,matches_operational_endpoints
PROCEDURE:STAR:SNDBR.SNDBR3,STAR,PROC_PATH:PROCEDURE:STAR:SNDBR.SNDBR3:BODY:SNDBR-WNNER:1:,SNDBR-WNNER,SNDBR,WNNER,SNDBR,WNNER,matches_operational_endpoints
PROCEDURE:STAR:SNDIA.SNDIA4,STAR,PROC_PATH:PROCEDURE:STAR:SNDIA.SNDIA4:BODY:SNDIA-CADAT:1:,SNDIA-CADAT,SNDIA,CADAT,SNDIA,CADAT,matches_operational_endpoints
PROCEDURE:STAR:SNDIA.SNDIA4,STAR,PROC_PATH:PROCEDURE:STAR:SNDIA.SNDIA4:BODY:SNDIA-CRSTN:1:,SNDIA-CRSTN,SNDIA,CRSTN,SNDIA,CRSTN,matches_operational_endpoints
PROCEDURE:STAR:SNFLD.SNFLD3,STAR,PROC_PATH:PROCEDURE:STAR:SNFLD.SNFLD3:BODY:SNFLD-CUBAL:1:,SNFLD-CUBAL,SNFLD,CUBAL,SNFLD,CUBAL,matches_operational_endpoints
PROCEDURE:STAR:SNFLD.SNFLD3,STAR,PROC_PATH:PROCEDURE:STAR:SNFLD.SNFLD3:BODY:SNFLD-SECOY:1:,SNFLD-SECOY,SNFLD,SECOY,SNFLD,SECOY,matches_operational_endpoints
PROCEDURE:STAR:SNKPT.CLANG1,STAR,PROC_PATH:PROCEDURE:STAR:SNKPT.CLANG1:BODY:SNKPT-CLANG:1:,SNKPT-CLANG,SNKPT,CLANG,SNKPT,CLANG,matches_operational_endpoints
PROCEDURE:STAR:SNKPT.SNKPT2,STAR,PROC_PATH:PROCEDURE:STAR:SNKPT.SNKPT2:BODY:SNKPT-DOCEY:1:,SNKPT-DOCEY,SNKPT,DOCEY,SNKPT,DOCEY,matches_operational_endpoints
PROCEDURE:STAR:SNKPT.SNKPT2,STAR,PROC_PATH:PROCEDURE:STAR:SNKPT.SNKPT2:BODY:SNKPT-LLARY:1:,SNKPT-LLARY,SNKPT,LLARY,SNKPT,LLARY,matches_operational_endpoints
PROCEDURE:STAR:SNKPT.SNKPT2,STAR,PROC_PATH:PROCEDURE:STAR:SNKPT.SNKPT2:BODY:SNKPT-ORIKE:1:,SNKPT-ORIKE,SNKPT,ORIKE,SNKPT,ORIKE,matches_operational_endpoints
PROCEDURE:STAR:SNKPT.SNKPT2,STAR,PROC_PATH:PROCEDURE:STAR:SNKPT.SNKPT2:BODY:SNKPT-RACEN:1:,SNKPT-RACEN,SNKPT,RACEN,SNKPT,RACEN,matches_operational_endpoints
PROCEDURE:STAR:SNKPT.SNKPT2,STAR,PROC_PATH:PROCEDURE:STAR:SNKPT.SNKPT2:BODY:SNKPT-WANOB:1:,SNKPT-WANOB,SNKPT,WANOB,SNKPT,WANOB,matches_operational_endpoints
PROCEDURE:STAR:SNKPT.SNKPT2,STAR,PROC_PATH:PROCEDURE:STAR:SNKPT.SNKPT2:BODY:SNKPT-ZESIT:1:,SNKPT-ZESIT,SNKPT,ZESIT,SNKPT,ZESIT,matches_operational_endpoints
PROCEDURE:STAR:SPANE.JAZZZ1,STAR,PROC_PATH:PROCEDURE:STAR:SPANE.JAZZZ1:BODY:SPANE-JAZZZ:1:,SPANE-JAZZZ,SPANE,JAZZZ,SPANE,JAZZZ,matches_operational_endpoints
PROCEDURE:STAR:SPANE.SPANE8,STAR,PROC_PATH:PROCEDURE:STAR:SPANE.SPANE8:BODY:SPANE-CHHIP:1:,SPANE-CHHIP,SPANE,CHHIP,SPANE,CHHIP,matches_operational_endpoints
PROCEDURE:STAR:SPANE.SPANE8,STAR,PROC_PATH:PROCEDURE:STAR:SPANE.SPANE8:BODY:SPANE-FFU:1:,SPANE-FFU,SPANE,FFU,SPANE,FFU,matches_operational_endpoints
PROCEDURE:STAR:SPIDR.SPIDR5,STAR,PROC_PATH:PROCEDURE:STAR:SPIDR.SPIDR5:BODY:SPIDR-DUCXS:1:,SPIDR-DUCXS,SPIDR,DUCXS,SPIDR,DUCXS,matches_operational_endpoints
