airwayKey,airwayPathKey,fromOccurrenceKey,toOccurrenceKey,fromPointKey,toPointKey,fromPointSeq,toPointSeq,magCourse,oppositeMagCourse,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,gapFlag,signalGapFlag,dogleg,forwardEndpointResolved,reverseDirectionEvidence,reverseEvidenceStatus,sourceTable,sourceRowId
AIRWAY:A342,AIRWAY_PATH:A342:A,AWY_OCC:A342:A:10,AWY_OCC:A342:A:20,POINT:FIX:NUZAN:P,POINT:FIX:OPAKE:P,10,20,73.95,256.62,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,66
AIRWAY:A342,AIRWAY_PATH:A342:A,AWY_OCC:A342:A:20,AWY_OCC:A342:A:30,POINT:FIX:OPAKE:P,POINT:FIX:PINSO:P,20,30,74.94,256.28,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,67
AIRWAY:A342,AIRWAY_PATH:A342:A,AWY_OCC:A342:A:30,AWY_OCC:A342:A:40,POINT:FIX:PINSO:P,POINT:FIX:AMOND:PA,30,40,75.49,257.31,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,68
AIRWAY:A342,AIRWAY_PATH:A342:A,AWY_OCC:A342:A:40,AWY_OCC:A342:A:50,POINT:FIX:AMOND:PA,POINT:FIX:DRAPP:PA,40,50,76.49,257.83,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,69
AIRWAY:A342,AIRWAY_PATH:A342:A,AWY_OCC:A342:A:50,AWY_OCC:A342:A:60,POINT:FIX:DRAPP:PA,POINT:FIX:CRYPT:PA,50,60,77.51,260.22,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,70
AIRWAY:A342,AIRWAY_PATH:A342:A,AWY_OCC:A342:A:60,AWY_OCC:A342:A:70,POINT:FIX:CRYPT:PA,POINT:NAVAID:CDB:VORTAC:US:AK:COLD_BAY,60,70,79.93,263.07,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,71
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:10,AWY_OCC:A450:C:20,POINT:FIX:CAHYO:P,POINT:FIX:TNUGE:P,10,20,44.87,225.23,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,73
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:100,AWY_OCC:A450:C:110,POINT:FIX:STINE:PG,POINT:FIX:DEWSS:P,100,110,71.7,251.76,18000,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,82
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:110,AWY_OCC:A450:C:120,POINT:FIX:DEWSS:P,POINT:FIX:JIMOS:P,110,120,73.27,253.65,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,83
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:120,AWY_OCC:A450:C:130,POINT:FIX:JIMOS:P,POINT:FIX:NGUEN:P,120,130,73.64,254.18,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,84
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:130,AWY_OCC:A450:C:140,POINT:FIX:NGUEN:P,POINT:FIX:NATIE:P,130,140,74.33,255.08,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,85
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:140,AWY_OCC:A450:C:150,POINT:FIX:NATIE:P,POINT:FIX:RESEE:P,140,150,75.41,256.63,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,86
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:150,AWY_OCC:A450:C:160,POINT:FIX:RESEE:P,POINT:FIX:SYSTA:P,150,160,76.96,259.09,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,87
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:160,AWY_OCC:A450:C:170,POINT:FIX:SYSTA:P,POINT:FIX:BRIUN:P,160,170,79.46,262.01,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,88
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:170,AWY_OCC:A450:C:180,POINT:FIX:BRIUN:P,POINT:FIX:HOOPA:P,170,180,82.73,263.09,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,89
AIRWAY:A450,AIRWAY_PATH:A450:C,AWY_OCC:A450:C:180,AWY_OCC:A450:C:190,POINT:FIX:HOOPA:P,POINT:FIX:KATHS:PH,180,190,82.36,262.81,5500,,,N,N,N,true,oppositeMagCourse,explicit_opposite_fields_present,AWY_SEG_ALT,90
