"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC"
"2026/05/14","AMRTN WP*MD*K6",1,"MD","US","IAP"
"2026/05/14","AMTAH WP*NE*K3",1,"NE","US","IAP"
"2026/05/14","AMTRA INT*CA*K2",1,"CA","US","IAP"
"2026/05/14","AMTRA INT*CA*K2",3,"CA","US","IAP"
"2026/05/14","AMTRA WP*CA*K2",2,"CA","US","NOT REQUIRED"
"2026/05/14","AMTRA WP*CA*K2",4,"CA","US","IAP"
"2026/05/14","AMULE WP*AK*PA",1,"AK","US","SPECIAL IAP"
"2026/05/14","AMURE WP*MT*K1",1,"MT","US","IAP"
"2026/05/14","AMUXY WP*AL*K7",1,"AL","US","IAP"
"2026/05/14","AMXUX WP*MI*K5",1,"MI","US","IAP"
"2026/05/14","AMYLU WP*SC*K7",1,"SC","US","STAR"
"2026/05/14","ANCOR WP*ME*K6",1,"ME","US","IAP"
"2026/05/14","ANCUT WP*IL*K5",1,"IL","US","IAP"
"2026/05/14","ANDEI WP*NC*K7",1,"NC","US","IAP"
"2026/05/14","ANDES INT*HI*PH",1,"HI","US","IAP"
"2026/05/14","ANDES WP*HI*PH",2,"HI","US","IAP"
"2026/05/14","ANDIA WP*TX*K4",1,"TX","US","SPECIAL IAP"
"2026/05/14","ANDII INT*OH*K5",2,"OH","US","MILITARY IAP"
"2026/05/14","ANDII WP*OH*K5",1,"OH","US","IAP"
"2026/05/14","ANDOZ WP*VA*K6",1,"VA","US","MILITARY IAP"
"2026/05/14","ANEPE WP*WI*K5",1,"WI","US","IAP"
"2026/05/14","ANERE INT*DE*K6",1,"DE","US","MILITARY IAP"
"2026/05/14","ANESE WP*AK*PA",1,"AK","US","IAP"
"2026/05/14","ANETT WP*KY*K5",1,"KY","US","IAP"
"2026/05/14","ANFEY WP*MN*K3",1,"MN","US","IAP"
"2026/05/14","ANGEE WP*FL*K7",1,"FL","US","IAP"
"2026/05/14","ANGER LOM*LA",1,"LA","US","IAP"
"2026/05/14","ANGIL WP*MT*K1",1,"MT","US","SID"
"2026/05/14","ANGIL WP*MT*K1",2,"MT","US","IAP"
"2026/05/14","ANGLS WP*AL*K7",1,"AL","US","IAP"
"2026/05/14","ANIAK NDB*AK",1,"AK","US","IAP"
"2026/05/14","ANICU WP*GA*K7",1,"GA","US","IAP"
