"EFF_DATE","FACILITY_ID","FACILITY_TYPE","STATE_CODE","COUNTRY_CODE","RADAR_TYPE","RADAR_NO","RADAR_HRS","REMARK"
"2026/05/14","NFW","AIRPORT","TX","US","ASR",1,"1300-0500Z++ MON-FRI, EXC HOL.",""
"2026/05/14","NFW","AIRPORT","TX","US","PAR",2,"1300-0500Z++ MON-FRI, EXC HOL.",""
"2026/05/14","NGF","AIRPORT","HI","US","ASR",1,"1800-0800Z MON-FRI; CLSD SAT, SUN AND HOL. MP 1630-2300Z WED.",""
"2026/05/14","NGP","AIRPORT","TX","US","PAR",1,"24",""
"2026/05/14","NGU","AIRPORT","VA","US","ASR",1,"RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/05/14","NGU","AIRPORT","VA","US","PAR",2,"RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/05/14","NHK","AIRPORT","MD","US","ASR",1,"1200-0400Z++ MON-FRI, 1300-2300Z++SAT-SUN.","(RADAR_HRS) SEE TERMINAL FLIP FOR RADAR MINIMA. ASR-11, PAR."
"2026/05/14","NHK","AIRPORT","MD","US","PAR",2,"1200-0400Z++ MON-FRI, 1300-2300Z++ SAT-SUN.",""
"2026/05/14","NIP","AIRPORT","FL","US","PAR",2,"NO-NOTAM MAINTENANCE SCHEDULE: PAR 1200-1600Z++ TUES. SEE FLIP AP/1 FOR ADDITIONAL SUPPLEMENTARY ARPT INFO.  SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/05/14","NIP","AIRPORT","FL","US","ASR",3,"24",""
"2026/05/14","NJK","AIRPORT","CA","US","ASR",1,"24 HRS",""
"2026/05/14","NKT","AIRPORT","NC","US","ASR",3,"24",""
"2026/05/14","NKT","AIRPORT","NC","US","PAR",4,"24",""
"2026/05/14","NKX","AIRPORT","CA","US","ASR",1,"24 HRS",""
"2026/05/14","NKX","AIRPORT","CA","US","PAR",2,"1530-0800Z MON-THU; 1630-0200Z++ FRI; CLSD SAT; 2200-0200Z++SUN.  FLD CLSD NATL HOLS.",""
"2026/05/14","NLC","AIRPORT","CA","US","ASR",2,"24",""
"2026/05/14","NLC","AIRPORT","CA","US","PAR",3,"0700-2400 MON-FRI; 0800-2400 SAT-SUN-HOL.",""
"2026/05/14","NMM","AIRPORT","MS","US","PAR",2,"0700-2300",""
"2026/05/14","NMM","AIRPORT","MS","US","ASR",4,"24",""
"2026/05/14","NPA","AIRPORT","FL","US","PAR",2,"HRS SAME AS ATCT.",""
