fromKey,toKey,magCourse,oppositeMagCourse,distanceNm,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,minObstacleClearanceAltFt,minCrossingAltFt,minReceptionAltFt,maxAuthorizedAltFt,requiredNavPerformance,gapFlag,signalGapFlag,dogleg,artcc,stateCode,countryCode,icaoRegionCode,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A555:C:230,AWY_OCC:A555:C:240,311.88,131.64,38.29,3000,,,,,,60000,,N,N,N,ZMA,OA,US,K,2026-05-14,AWY_SEG_ALT,130
AWY_OCC:A555:C:240,AWY_OCC:A555:C:250,311.64,131.58,10.62,3000,,,1300,,,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,131
AWY_OCC:A555:C:250,AWY_OCC:A555:C:260,311.57,131.39,29.38,1500,,,1500,,,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,132
AWY_OCC:A555:C:260,AWY_OCC:A555:C:270,298.4,118.3,14,2000,,,,,,60000,,N,N,N,,,BS,,2026-05-14,AWY_SEG_ALT,133
AWY_OCC:A555:C:270,AWY_OCC:A555:C:280,298.3,118.18,16,2000,,,,,,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,134
AWY_OCC:A555:C:280,AWY_OCC:A555:C:290,296.18,116.08,13.5,4000,,,,,,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,135
AWY_OCC:A555:C:290,AWY_OCC:A555:C:300,296.09,115.61,64.79,4000,,,,,,60000,,N,N,N,ZMA,,BS,MY,2026-05-14,AWY_SEG_ALT,136
AWY_OCC:A578:C:10,AWY_OCC:A578:C:20,124.59,304.47,29.99,18000,,,,,,60000,,N,N,N,,,FM,,2026-05-14,AWY_SEG_ALT,138
AWY_OCC:A578:C:20,AWY_OCC:A578:C:30,124.52,303.39,289.81,18000,,,,,,60000,,N,N,N,ZAK,,FM,K2,2026-05-14,AWY_SEG_ALT,139
AWY_OCC:A579:C:10,AWY_OCC:A579:C:20,203.68,23.53,72.48,,,,,,,,,N,N,N,ZHN,OP,US,P,2026-05-14,AWY_SEG_ALT,141
AWY_OCC:A579:C:20,AWY_OCC:A579:C:30,203.36,22.2,546.52,,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,142
