nodeKey,NAV_ID,NAV_TYPE,NAV_STATUS,NAME,CITY,STATE_CODE,COUNTRY_CODE,REGION_CODE,LAT_DECIMAL,LONG_DECIMAL,FREQ,OPER_HOURS,NAS_USE_FLAG,PUBLIC_USE_FLAG
NAVAID:FAY:VOR/DME,FAY,VOR/DME,OPERATIONAL RESTRICTED,FAYETTEVILLE,FAYETTEVILLE,NC,US,ASO,34.98555122,-78.87506386,114.85,24,Y,Y
NAVAID:FIM:VORTAC,FIM,VORTAC,OPERATIONAL RESTRICTED,FILLMORE,FILLMORE,CA,US,AWP,34.35669361,-118.88129111,112.5,24,Y,Y
NAVAID:FJC:VORTAC,FJC,VORTAC,OPERATIONAL RESTRICTED,ALLENTOWN,ALLENTOWN,PA,US,AEA,40.72668727,-75.45474519,117.5,24,Y,Y
NAVAID:FLM:VOR/DME,FLM,VOR/DME,OPERATIONAL IFR,FALMOUTH,FALMOUTH,KY,US,ASO,38.64944141,-84.31060166,117,24,Y,Y
NAVAID:FMG:VORTAC,FMG,VORTAC,OPERATIONAL RESTRICTED,MUSTANG,RENO,NV,US,AWP,39.53127736,-119.65607586,117.9,24,Y,Y
NAVAID:FNT:VORTAC,FNT,VORTAC,OPERATIONAL RESTRICTED,FLINT,FLINT,MI,US,AGL,42.9667665,-83.7469878,116.9,24,Y,Y
NAVAID:FOD:TACAN,FOD,TACAN,OPERATIONAL RESTRICTED,FORT DODGE,FORT DODGE,IA,US,ACE,42.61112497,-94.29481613,113.5,24,Y,Y
NAVAID:FQF:VORTAC,FQF,VORTAC,OPERATIONAL RESTRICTED,FALCON,DENVER,CO,US,ANM,39.69013888,-104.62097222,116.3,24,Y,Y
NAVAID:FQM:VOR/DME,FQM,VOR/DME,OPERATIONAL IFR,WILLIAMSPORT,WILLIAMSPORT,PA,US,AEA,41.3385585,-76.77486658,114.4,24,Y,Y
NAVAID:FRA:VORTAC,FRA,VORTAC,OPERATIONAL IFR,FRIANT,FRIANT,CA,US,AWP,37.10442083,-119.59544555,115.6,24,Y,Y
NAVAID:FSD:VORTAC,FSD,VORTAC,OPERATIONAL RESTRICTED,SIOUX FALLS,SIOUX FALLS,SD,US,AGL,43.64949047,-96.78112502,115,24,Y,Y
NAVAID:FSM:VORTAC,FSM,VORTAC,OPERATIONAL IFR,FORT SMITH,FORT SMITH,AR,US,ASW,35.38840763,-94.27152422,110.4,24,Y,Y
NAVAID:FST:VORTAC,FST,VORTAC,OPERATIONAL RESTRICTED,FORT STOCKTON,FORT STOCKTON,TX,US,ASW,30.95210705,-102.97571136,116.9,24,Y,Y
NAVAID:FTI:VORTAC,FTI,VORTAC,OPERATIONAL RESTRICTED,FORT UNION,LAS VEGAS,NM,US,ASW,35.6575495,-105.13559641,117.3,24,Y,Y
NAVAID:FTZ:VORTAC,FTZ,VORTAC,OPERATIONAL RESTRICTED,FORISTELL,FORISTELL,MO,US,ACE,38.69433369,-90.97126933,114.35,24,Y,Y
NAVAID:FUZ:VORTAC,FUZ,VORTAC,OPERATIONAL RESTRICTED,RANGER,DALLAS-FORT WORTH,TX,US,ASW,32.8894488,-97.17942588,115.7,24,Y,Y
NAVAID:FWA:VORTAC,FWA,VORTAC,OPERATIONAL RESTRICTED,FORT WAYNE,FORT WAYNE,IN,US,AGL,40.9790643,-85.18805811,117.8,24,Y,Y
NAVAID:GBN:VORTAC,GBN,VORTAC,OPERATIONAL RESTRICTED,GILA BEND,GILA BEND,AZ,US,AWP,32.95625833,-112.67427166,116.6,24,Y,Y
NAVAID:GCK:VORTAC,GCK,VORTAC,OPERATIONAL RESTRICTED,GARDEN CITY,GARDEN CITY,KS,US,ACE,37.91900372,-100.72500863,113.3,24,Y,Y
NAVAID:GDM:VOR/DME,GDM,VOR/DME,OPERATIONAL IFR,GARDNER,GARDNER,MA,US,ANE,42.54592083,-72.05818822,116.95,24,Y,Y
NAVAID:GEE:VOR/DME,GEE,VOR/DME,OPERATIONAL RESTRICTED,GENESEO,GENESEO,NY,US,AEA,42.83439638,-77.73275083,108.2,24,Y,Y
NAVAID:GEP:VORTAC,GEP,VORTAC,OPERATIONAL RESTRICTED,GOPHER,MINNEAPOLIS,MN,US,AGL,45.14568488,-93.37318094,117.3,24,Y,Y
NAVAID:GIJ:VORTAC,GIJ,VORTAC,OPERATIONAL RESTRICTED,GIPPER,NILES,MI,US,AGL,41.76861125,-86.31845188,115.4,24,Y,Y
