routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING,semanticStatus,searchProjectionStatus
ACY:MDT:TEC:1,ACY,MDT,TEC,1,4000,,,,,BRIEF T307 REESY T452 HAR,valid_semantic_route,projected
ACY:MHT:TEC:1,ACY,MHT,TEC,1,5000,"SINGLE ENGINE AND /E, /F, /G ONLY",,,,CRESI T303 JFK T315 HFD CLOWW,valid_semantic_route,projected
ACY:MMK:TEC:1,ACY,MMK,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR MAD,valid_semantic_route,projected
ACY:MVY:TEC:1,ACY,MVY,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON V374 MVY,valid_semantic_route,projected
ACY:MYR:H:1,ACY,MYR,H,1,,,,,,LEEAH ATR TRPOD Q409 CRPLR PAACK WYLMS,valid_semantic_route,projected
ACY:OQU:TEC:1,ACY,OQU,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON,valid_semantic_route,projected
ACY:ORH:TEC:1,ACY,ORH,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 HFD T303 GRAYM,valid_semantic_route,projected
ACY:PBI:H:1,ACY,PBI,H,1,,,,,,LEEAH ATR TRPOD Q409 CRPLR PAACK Q97 KENLL CPTAN3,valid_semantic_route,projected
ACY:PBI:H:2,ACY,PBI,H,2,,JETS ONLY,,WATER,,LEEAH ATR TRPOD Q409 CRPLR EARZZ Q131 WAALT Y289 DULEE CLMNT2,valid_semantic_route,projected
ACY:PHL:TEC:1,ACY,PHL,TEC,1,4000,,,,,ACY V184 OOD,valid_semantic_route,projected
ACY:PIT:H:1,ACY,PIT,H,1,,,,,,LEEAH ENO DQO PENSY J110 VINSE DEMME5,valid_semantic_route,projected
ACY:PNE:TEC:1,ACY,PNE,TEC,1,5000,,,,,ACY T315 DIXIE T438 ARD,valid_semantic_route,projected
ACY:PVC:TEC:1,ACY,PVC,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 HFD V167 PVD T393 GAILS,valid_semantic_route,projected
ACY:PVD:TEC:1,ACY,PVD,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON,valid_semantic_route,projected
ACY:PWM:TEC:1,ACY,PWM,TEC,1,5000,"SINGLE ENGINE AND /E, /F, /G ONLY",,,,CRESI T303 JFK T315 HFD CLOWW,valid_semantic_route,projected
ACY:RDG:TEC:1,ACY,RDG,TEC,1,4000,,,,,ACY V184 OOD DQO FOLEZ T356 DETTE,valid_semantic_route,projected
ACY:RDU:H:1,ACY,RDU,H,1,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,LEEAH TRPOD TAQLE3,valid_semantic_route,projected
ACY:RSW:H:1,ACY,RSW,H,1,,,,,,LEEAH ATR TRPOD Q409 PUPYY Q103 CYNTA SHFTY6,valid_semantic_route,projected
ACY:RSW:H:2,ACY,RSW,H,2,,JETS ONLY,,WATER,,LEEAH ATR TRPOD Q409 CRPLR EARZZ Q131 WAALT Y289 BAHAA HIBAC SHFTY6,valid_semantic_route,projected
ACY:RSW:H:3,ACY,RSW,H,3,,"JET & TURBOPROP ONLY,  RNAV 1 - DME/DME/IRU OR GPS",,,,LEEAH T358 OBWON T356 DROSA GVE Q75 SLOJO Q103 CYNTA SHFTY6,valid_semantic_route,projected
ACY:SBY:TEC:1,ACY,SBY,TEC,1,6000,,,,,LEEAH T303 TRPOD,valid_semantic_route,projected
ACY:TAN:TEC:1,ACY,TAN,TEC,1,5000,SINGLE ENGINE ONLY,,,,CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON V374 MINNK,valid_semantic_route,projected
ACY:TEB:TEC:1,ACY,TEB,TEC,1,5000,TURBOJETS ONLY,,,,ACY T315 PANZE V184 ZIGGI T438 RBV V249 METRO,valid_semantic_route,projected
ACY:TPA:H:1,ACY,TPA,H,1,,,,,,LEEAH ATR TRPOD Q409 PUPYY BAAMF DADES2,valid_semantic_route,projected
