fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
AWY_OCC:T349:C:120,POINT:FIX:EXWAY:K7,EXWAY,EXWAY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7770
AWY_OCC:T349:C:130,POINT:FIX:MURDE:K7,MURDE,MURDE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7771
AWY_OCC:T349:C:140,POINT:FIX:CCITY:K7,CCITY,CCITY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7772
AWY_OCC:T349:C:150,POINT:FIX:CILLA:K7,CILLA,CILLA,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7773
AWY_OCC:T349:C:160,POINT:FIX:CODYS:K7,CODYS,CODYS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7774
AWY_OCC:T349:C:170,POINT:FIX:OLUGY:K7,OLUGY,OLUGY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7775
AWY_OCC:T349:C:180,POINT:FIX:BWDEN:K7,BWDEN,BWDEN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7776
AWY_OCC:T349:C:190,POINT:FIX:MHOUS:K7,MHOUS,MHOUS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7777
AWY_OCC:T349:C:200,POINT:FIX:SAIML:K7,SAIML,SAIML,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7778
AWY_OCC:T349:C:210,POINT:FIX:RADME:K7,RADME,RADME,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7779
AWY_OCC:T349:C:220,POINT:FIX:OALDY:K7,OALDY,OALDY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7780
AWY_OCC:T349:C:230,POINT:FIX:IVCOB:K7,IVCOB,IVCOB,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7781
AWY_OCC:T349:C:240,POINT:FIX:LYFEE:K7,LYFEE,LYFEE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7782
AWY_OCC:T353:C:10,POINT:FIX:FEBRO:K7,FEBRO,FEBRO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7783
AWY_OCC:T353:C:20,POINT:FIX:MOANS:K7,MOANS,MOANS,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7784
AWY_OCC:T353:C:30,POINT:FIX:PUNQU:K7,PUNQU,PUNQU,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7785
AWY_OCC:T353:C:40,POINT:FIX:AKOJO:K7,AKOJO,AKOJO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7786
AWY_OCC:T353:C:50,POINT:FIX:DAIYL:K7,DAIYL,DAIYL,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7787
AWY_OCC:T353:C:60,POINT:FIX:EMSEE:K7,EMSEE,EMSEE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7788
AWY_OCC:T353:C:70,POINT:FIX:KIZER:K7,KIZER,KIZER,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7789
AWY_OCC:T353:C:80,POINT:FIX:GUANO:K7,GUANO,GUANO,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7790
AWY_OCC:T353:C:90,POINT:FIX:MRUTT:K7,MRUTT,MRUTT,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7791
