routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,rejectReason
EBONY:WRI:NAR:1,EBONY,WRI,NAR,1,origin_airport_not_found
EKR:SLC:SHD:1,EKR,SLC,SHD,1,origin_airport_not_found
ELLDE:MALET:HPD:1,ELLDE,MALET,HPD,1,origin_airport_not_found|destination_airport_not_found
ELMAA:PYE:HPD:1,ELMAA,PYE,HPD,1,origin_airport_not_found|destination_airport_not_found
ELSIR:ALLEX:NAR:1,ELSIR,ALLEX,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:ANATI:NAR:1,ELSIR,ANATI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:BRADD:NAR:1,ELSIR,BRADD,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:EBONY:NAR:1,ELSIR,EBONY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:HULTN:NAR:1,ELSIR,HULTN,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:KANNI:NAR:1,ELSIR,KANNI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:MIILS:NAR:1,ELSIR,MIILS,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:TOPPS:NAR:1,ELSIR,TOPPS,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:TUSKY:NAR:1,ELSIR,TUSKY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:VITOL:NAR:1,ELSIR,VITOL,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ELSIR:WHALE:NAR:1,ELSIR,WHALE,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EMBOK:FEDDY:NAR:1,EMBOK,FEDDY,NAR,1,origin_airport_not_found|destination_airport_not_found
EMBOK:TEFFO:NAR:1,EMBOK,TEFFO,NAR,1,origin_airport_not_found|destination_airport_not_found
EMT:TIJ:TEC:1,EMT,TIJ,TEC,1,destination_airport_not_found
ENE:BEETS:HPD:1,ENE,BEETS,HPD,1,origin_airport_not_found|destination_airport_not_found
ENNSO:ANATI:NAR:1,ENNSO,ANATI,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ENNSO:KJOHN:NAR:1,ENNSO,KJOHN,NAR,1,origin_airport_not_found|destination_airport_not_found
ENNSO:MIILS:NAR:1,ENNSO,MIILS,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ENNSO:MT:NAR:1,ENNSO,MT,NAR,1,origin_airport_not_found|destination_airport_not_found
ENNSO:QUBIS:NAR:1,ENNSO,QUBIS,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ENNSO:TAFFY:NAR:1,ENNSO,TAFFY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
ENNSO:YBC:NAR:1,ENNSO,YBC,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
EUG:OED:SLD:1,EUG,OED,SLD,1,destination_airport_not_found
EUG:UBG:SLD:1,EUG,UBG,SLD,1,destination_airport_not_found
EWR:CYUL:H:1,EWR,CYUL,H,1,destination_airport_not_found
EWR:CYUL:L:1,EWR,CYUL,L,1,destination_airport_not_found
EXTOL:YODAA:HPD:1,EXTOL,YODAA,HPD,1,origin_airport_not_found|destination_airport_not_found
F70:TIJ:TEC:1,F70,TIJ,TEC,1,destination_airport_not_found
FEPOT:PYE:HPD:1,FEPOT,PYE,HPD,1,origin_airport_not_found|destination_airport_not_found
FFU:LAS:SHD:1,FFU,LAS,SHD,1,origin_airport_not_found
FLL:BDA:SHD:1,FLL,BDA,SHD,1,destination_airport_not_found
FLL:CHIEZ:SHD:1,FLL,CHIEZ,SHD,1,destination_airport_not_found
FLL:CYUL:H:1,FLL,CYUL,H,1,destination_airport_not_found
FLL:CYUL:H:2,FLL,CYUL,H,2,destination_airport_not_found
FLL:GARIC:SHD:1,FLL,GARIC,SHD,1,destination_airport_not_found
FLL:MDCS:SHD:1,FLL,MDCS,SHD,1,destination_airport_not_found
FLL:MUFH:SHD:1,FLL,MUFH,SHD,1,destination_airport_not_found
FLL:MUFH:SHD:2,FLL,MUFH,SHD,2,destination_airport_not_found
FLL:MUFH:SHD:3,FLL,MUFH,SHD,3,destination_airport_not_found
FLL:MUFH:SHD:4,FLL,MUFH,SHD,4,destination_airport_not_found
FLL:MUFH:SHD:5,FLL,MUFH,SHD,5,destination_airport_not_found
FLL:PRONI:SHD:1,FLL,PRONI,SHD,1,destination_airport_not_found
FLL:SKARP:SHD:1,FLL,SKARP,SHD,1,destination_airport_not_found
FRAAY:BJC:SHD:1,FRAAY,BJC,SHD,1,origin_airport_not_found
FRAAY:BJC:SHD:2,FRAAY,BJC,SHD,2,origin_airport_not_found
FXE:MDCS:SHD:1,FXE,MDCS,SHD,1,destination_airport_not_found
GIJ:IAD:SHD:2,GIJ,IAD,SHD,2,origin_airport_not_found
GOONS:BULZI:HPD:1,GOONS,BULZI,HPD,1,origin_airport_not_found|destination_airport_not_found
GRUBR:SEELO:HPD:1,GRUBR,SEELO,HPD,1,origin_airport_not_found|destination_airport_not_found
GSO:JEVED:HPD:1,GSO,JEVED,HPD,1,destination_airport_not_found
GURGE:RYCKI:HPD:1,GURGE,RYCKI,HPD,1,origin_airport_not_found|destination_airport_not_found
HANAA:GOATR:HPD:1,HANAA,GOATR,HPD,1,origin_airport_not_found|destination_airport_not_found
HARKI:NICHO:HPD:1,HARKI,NICHO,HPD,1,origin_airport_not_found|destination_airport_not_found
HAROB:STIKM:HPD:1,HAROB,STIKM,HPD,1,origin_airport_not_found|destination_airport_not_found
HFD:ALB:TEC:1,HFD,ALB,TEC,1,route_segments_not_found
HFD:BDR:TEC:1,HFD,BDR,TEC,1,route_segments_not_found
HMT:TIJ:TEC:1,HMT,TIJ,TEC,1,destination_airport_not_found
HOIST:ANATI:NAR:1,HOIST,ANATI,NAR,1,origin_airport_not_found|destination_airport_not_found
HOIST:KJOHN:NAR:1,HOIST,KJOHN,NAR,1,origin_airport_not_found|destination_airport_not_found
HOIST:MIILS:NAR:1,HOIST,MIILS,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
HOIST:MT:NAR:1,HOIST,MT,NAR,1,origin_airport_not_found|destination_airport_not_found
HOIST:QUBIS:NAR:1,HOIST,QUBIS,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
HOIST:TAFFY:NAR:1,HOIST,TAFFY,NAR,1,origin_airport_not_found|destination_airport_not_found|route_segments_not_found
