routeKey,ORIGIN_ID,DSTN_ID,PFR_TYPE_CODE,ROUTE_NO,ALT_DESCRIP,AIRCRAFT,HOURS,ROUTE_DIR_DESCRIP,DESIGNATOR,ROUTE_STRING
DFW:MDW:H:1,DFW,MDW,H,1,,TURBOJET,,,,AKUNA9 MLC SGF MAGOO ENDEE8
DFW:MIA:H:4,DFW,MIA,H,4,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,MRSSH3 ZALEA MCB J50 CEW J2 DEFUN FROGZ5
DFW:MIA:H:5,DFW,MIA,H,5,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,WATER,,MRSSH3 ZALEA HRV Q105 BLVNS Y290 DOWRY FROGZ5
DFW:ORD:H:1,DFW,ORD,H,1,,TURBOJETS,,ORD WEST FLO,,AKUNA9 MLC SGF WELTS TRTLL6
DFW:ORD:H:2,DFW,ORD,H,2,,TURBOJET,,ORD EAST FLOW,,AKUNA9 MLC SGF WELTS SHAIN2
DFW:PBI:H:1,DFW,PBI,H,1,,,,WATER,,MRSSH3 ZALEA HRV Q105 BLVNS Y290 GAWKS VUUDU1
DFW:PBI:H:2,DFW,PBI,H,2,,,,,,MRSSH3 ZALEA MCB J50 CEW J2 DEFUN VUUDU1
DFW:PHL:H:1,DFW,PHL,H,1,,,,,,TRYTN4 LOOSE Q34 GVE PAATS4
DFW:PIT:H:1,DFW,PIT,H,1,,,,,,ZACHH4 BSKAT LIT J131 PXV HNN FEWGA7
DFW:SAT:H:1,DFW,SAT,H,1,,,,,,JASPA7 WINDU QERVO3
DFW:SDF:H:1,DFW,SDF,H,1,,,,,,TRYTN4 LOOSE BUMPY MBELL5
DFW:SFO:H:1,DFW,SFO,H,1,,"JETS ONLY, RNAV 1 - DME/DME/IRU OR GPS",,,,HRPER3 HULZE TCC J76 FTI J58 OAL INYOE DYAMD5
