edgeKey,fromNodeKey,toNodeKey,fromType,toType,directionType,sourceRouteCount,sourceRouteKeys
AIRPORT:ATL->FIX:LUCKK,AIRPORT:ATL,FIX:LUCKK,Airport,Fix,original,7,ATL:APF:H:1|ATL:FMY:H:1|ATL:MIA:H:2|ATL:MKY:H:1|ATL:RSW:H:2|ATL:SRQ:H:1|ATL:TPA:H:2
AIRPORT:ATL->FIX:PHIIL,AIRPORT:ATL,FIX:PHIIL,Airport,Fix,original,1,ATL:CLT:H:3
AIRPORT:ATL->FIX:RESPE,AIRPORT:ATL,FIX:RESPE,Airport,Fix,original,1,ATL:MDW:H:1
AIRPORT:ATL->FIX:SARGE,AIRPORT:ATL,FIX:SARGE,Airport,Fix,original,3,ATL:ECP:H:1|ATL:PNS:H:1|ATL:VPS:H:1
AIRPORT:ATL->FIX:SMTTH,AIRPORT:ATL,FIX:SMTTH,Airport,Fix,original,6,ATL:CLE:H:1|ATL:CMH:H:1|ATL:CVG:H:1|ATL:DTW:H:1|ATL:DTW:H:2|ATL:PIT:H:1
AIRPORT:ATL->FIX:STNGA,AIRPORT:ATL,FIX:STNGA,Airport,Fix,original,5,ATL:DFW:H:1|ATL:DFW:H:2|ATL:HOU:H:1|ATL:IAH:H:1|ATL:IAH:H:2
AIRPORT:ATL->FIX:WALET,AIRPORT:ATL,FIX:WALET,Airport,Fix,original,7,ATL:BCT:H:1|ATL:EYW:H:1|ATL:FLL:H:2|ATL:GNV:H:1|ATL:MCO:H:2|ATL:ORL:H:1|ATL:PBI:H:1
AIRPORT:ATL->NAVAID:IRQ:VORTAC,AIRPORT:ATL,NAVAID:IRQ:VORTAC,Airport,Navaid,original,1,ATL:RDU:H:2
AIRPORT:AUG->FIX:CLOWW,AIRPORT:AUG,FIX:CLOWW,Airport,Fix,original,16,AUG:BDL:TEC:2|AUG:BDR:TEC:2|AUG:DXR:TEC:2|AUG:EWR:TEC:3|AUG:EWR:TEC:4|AUG:FRG:TEC:1|AUG:HFD:TEC:2|AUG:HPN:TEC:1|AUG:HVN:TEC:1|AUG:ISP:TEC:1|AUG:JFK:TEC:1|AUG:ORH:TEC:1|AUG:OXC:TEC:1|AUG:PHL:TEC:1|AUG:PHL:TEC:2|AUG:PNE:TEC:2
AIRPORT:AUG->NAVAID:CON:VOR/DME,AIRPORT:AUG,NAVAID:CON:VOR/DME,Airport,Navaid,original,1,AUG:ALB:TEC:1
AIRPORT:AUG->NAVAID:ENE:VOR/DME,AIRPORT:AUG,NAVAID:ENE:VOR/DME,Airport,Navaid,original,15,AUG:ACK:TEC:1|AUG:BED:TEC:1|AUG:BOS:TEC:1|AUG:BOS:TEC:2|AUG:CON:TEC:1|AUG:GON:TEC:1|AUG:HYA:TEC:1|AUG:MHT:TEC:1|AUG:MVY:TEC:1|AUG:OWD:TEC:1|AUG:PNE:TEC:1|AUG:PSM:TEC:1|AUG:PVC:TEC:1|AUG:PVD:TEC:1|AUG:SWF:TEC:1
AIRPORT:AUS->FIX:ILEXY,AIRPORT:AUS,FIX:ILEXY,Airport,Fix,original,3,AUS:HOU:H:1|AUS:IAH:H:1|AUS:IAH:H:2
AIRPORT:AUS->FIX:JAYJO,AIRPORT:AUS,FIX:JAYJO,Airport,Fix,original,1,AUS:HOU:H:2
AIRPORT:AUS->FIX:ZENZI,AIRPORT:AUS,FIX:ZENZI,Airport,Fix,original,14,AUS:BOS:H:1|AUS:BWI:H:1|AUS:BWI:H:2|AUS:DCA:H:1|AUS:DCA:H:2|AUS:EWR:H:1|AUS:IAD:H:1|AUS:IAD:H:2|AUS:JFK:H:1|AUS:JFK:H:2|AUS:LGA:H:1|AUS:PHL:H:1|AUS:PHL:H:2|AUS:TEB:H:1
AIRPORT:AUS->NAVAID:TNV:VOR/DME,AIRPORT:AUS,NAVAID:TNV:VOR/DME,Airport,Navaid,original,5,AUS:45R:TEC:1|AUS:BMT:TEC:1|AUS:BPT:TEC:1|AUS:LCH:TEC:1|AUS:ORG:TEC:1
AIRPORT:AVL->FIX:WIGVO,AIRPORT:AVL,FIX:WIGVO,Airport,Fix,original,1,AVL:EYW:H:1
AIRPORT:AVP->FIX:WLKES,AIRPORT:AVP,FIX:WLKES,Airport,Fix,original,5,AVP:BGM:TEC:1|AVP:ELM:TEC:1|AVP:ELM:TEC:2|AVP:EWR:TEC:1|AVP:EWR:TEC:2
AIRPORT:AVP->NAVAID:LVZ:VORTAC,AIRPORT:AVP,NAVAID:LVZ:VORTAC,Airport,Navaid,original,3,AVP:CXY:TEC:1|AVP:LNS:TEC:1|AVP:RDG:TEC:1
AIRPORT:AVX->NAVAID:SLI:VORTAC,AIRPORT:AVX,NAVAID:SLI:VORTAC,Airport,Navaid,original,15,AVX:AJO:TEC:1|AVX:CCB:TEC:1|AVX:CNO:TEC:1|AVX:EMT:TEC:1|AVX:F70:TEC:1|AVX:HMT:TEC:1|AVX:L65:TEC:1|AVX:ONT:TEC:1|AVX:POC:TEC:1|AVX:RAL:TEC:1|AVX:REI:TEC:1|AVX:RIR:TEC:1|AVX:RIV:TEC:1|AVX:SBD:TEC:1|AVX:VNY:TEC:1
AIRPORT:AVX->NAVAID:SXC:VORTAC,AIRPORT:AVX,NAVAID:SXC:VORTAC,Airport,Navaid,original,33,AVX:BUR:TEC:5|AVX:BUR:TEC:6|AVX:BUR:TEC:7|AVX:CMA:TEC:1|AVX:CRQ:TEC:4|AVX:MYF:TEC:5|AVX:MYF:TEC:6|AVX:NFG:TEC:1|AVX:NKX:TEC:1|AVX:NRS:TEC:1|AVX:NRS:TEC:2|AVX:NTD:TEC:2|AVX:NZY:TEC:1|AVX:NZY:TEC:2|AVX:OKB:TEC:1|AVX:OXR:TEC:1|AVX:RNM:TEC:3|AVX:SAN:TEC:7|AVX:SAN:TEC:8|AVX:SAN:TEC:9|AVX:SBA:TEC:3|AVX:SDM:TEC:1|AVX:SDM:TEC:2|AVX:SEE:TEC:1|AVX:SEE:TEC:2|AVX:SMO:TEC:1|AVX:SMO:TEC:2|AVX:VNY:TEC:2|AVX:VNY:TEC:3|AVX:VNY:TEC:4|AVX:WHP:TEC:4|AVX:WHP:TEC:5|AVX:WHP:TEC:6
AIRPORT:AZO->FIX:DETMR,AIRPORT:AZO,FIX:DETMR,Airport,Fix,original,1,AZO:CLE:H:1
AIRPORT:AZO->NAVAID:FWA:VORTAC,AIRPORT:AZO,NAVAID:FWA:VORTAC,Airport,Navaid,original,1,AZO:CVG:H:1
AIRPORT:BBG->NAVAID:SGF:VORTAC,AIRPORT:BBG,NAVAID:SGF:VORTAC,Airport,Navaid,original,1,BBG:MDW:H:1
AIRPORT:BCE->NAVAID:BCE:VORTAC,AIRPORT:BCE,NAVAID:BCE:VORTAC,Airport,Navaid,original,1,BCE:SLC:SHD:1
AIRPORT:BCT->FIX:MATLK,AIRPORT:BCT,FIX:MATLK,Airport,Fix,original,1,BCT:FRG:H:1
AIRPORT:BDL->FIX:GRAYM,AIRPORT:BDL,FIX:GRAYM,Airport,Fix,original,1,BDL:BED:TEC:1
AIRPORT:BDL->FIX:KEYNN,AIRPORT:BDL,FIX:KEYNN,Airport,Fix,original,1,BDL:LEB:TEC:1
AIRPORT:BDL->FIX:MOBBS,AIRPORT:BDL,FIX:MOBBS,Airport,Fix,original,9,BDL:EWR:L:1|BDL:IAD:H:2|BDL:PHL:L:2|BDL:PHL:L:3|BDL:PHL:L:4|BDL:PNE:L:5|BDL:PNE:L:6|BDL:TTN:L:4|BDL:TTN:L:5
