airwayId,airwayLocation,pointSeq,currentPoint,nextPoint,gapFlagActive,signalGapFlagActive,meaGapActive,doglegActive,isTerminalPoint,hasCurrentCleanNextEdge,gapPositionClass,sourceRowNumber
J11,C,20,TOTEC,TUKEE,false,false,false,true,false,true,dogleg_turn_point,916
J110,C,10,BLD,LRAIN,false,true,false,false,false,true,signal_coverage_gap,930
J110,C,40,ALS,GCK,false,true,false,false,false,true,signal_coverage_gap,933
J110,C,50,GCK,KIRKE,false,true,false,false,false,true,signal_coverage_gap,934
J114,C,50,YANKI,NARLY,false,false,false,true,false,true,dogleg_turn_point,981
J115,A,30,CDB,BINAL,false,true,false,false,false,true,signal_coverage_gap,988
J115,A,80,CIFJI,TUCKS,false,false,false,true,false,true,dogleg_turn_point,993
J123,A,80,OTZ,BRW,false,true,false,false,false,true,signal_coverage_gap,1036
J126,C,150,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-3,false,false,true,false,false,true,mea_unusable,1058
J128,C,40,RUSTT,EMMEY,false,false,false,true,false,true,dogleg_turn_point,1069
J128,C,100,TBC,LRAIN,false,true,false,false,false,true,signal_coverage_gap,1075
J128,C,140,HCT,DBQ,true,false,true,false,false,true,multiple_flags,1079
J129,A,20,CIVED,OTZ,false,false,false,true,false,true,dogleg_turn_point,1084
J13,C,50,ABQ,FRIHO,false,true,false,false,false,true,signal_coverage_gap,1090
J13,C,80,ALS,VIMPY,false,true,false,false,false,true,signal_coverage_gap,1093
J13,C,90,VIMPY,FQF,false,false,false,true,false,true,dogleg_turn_point,1094
J131,C,50,EDNAS,FUZ,false,false,false,true,false,true,dogleg_turn_point,1106
J131,C,90,RUSLR,HUMBO,false,false,false,true,false,true,dogleg_turn_point,1110
J134,C,80,GUP,CIM,false,true,false,false,false,true,signal_coverage_gap,1122
J134,C,90,CIM,ICT,true,false,true,false,false,true,multiple_flags,1123
J138,C,40,SAT,LCH,true,false,true,false,false,true,multiple_flags,1157
J14,C,60,KOMMA,LIT,false,false,false,true,false,true,dogleg_turn_point,1168
J14,C,90,JMUCK,YAALL,false,false,false,true,false,true,dogleg_turn_point,1171
J141,C,20,KEYLO,WIPPO,false,false,false,true,false,true,dogleg_turn_point,1178
J146,C,70,NOOTN,BETHL,false,true,false,false,false,true,signal_coverage_gap,1195
J146,C,120,HBU,GLD,false,true,false,false,false,true,signal_coverage_gap,1200
J146,C,190,GIJ,ETG,true,false,true,false,false,true,multiple_flags,1207
J148,C,40,MTU,CYS,false,true,false,false,false,true,signal_coverage_gap,1215
J148,C,50,CYS,HANKI,false,true,false,false,false,true,signal_coverage_gap,1216
J149,C,40,EYTEE,SINDE,false,false,true,false,false,true,mea_unusable,1224
J149,C,50,SINDE,GEFFS,false,false,true,false,false,true,mea_unusable,1225
J149,C,60,GEFFS,HACKS,false,false,false,true,false,true,dogleg_turn_point,1226
J15,C,20,MARCS,JCT,false,false,false,true,false,true,dogleg_turn_point,1235
J15,C,170,JNC,TCH,false,true,false,false,false,true,signal_coverage_gap,1250
J15,C,220,TIMEE,BTG,false,false,false,true,false,true,dogleg_turn_point,1255
J151,C,130,RAP,BIL,false,true,false,false,false,true,signal_coverage_gap,1269
J151,C,150,JAPER,HIA,false,false,false,true,false,true,dogleg_turn_point,1271
J152,C,50,JST,MIROY,false,true,false,false,false,true,signal_coverage_gap,1277
J153,C,20,BKE,BEAMO,false,true,false,false,false,true,signal_coverage_gap,1282
J154,C,50,OCS,ALPOE,false,true,false,false,false,true,signal_coverage_gap,1291
J154,C,70,AUTIM,RAMMS,false,false,false,true,false,true,dogleg_turn_point,1293
J154,C,120,SELLS,RYLIE,false,false,false,true,false,true,dogleg_turn_point,1298
J156,C,10,ILC,EKR,false,true,false,false,false,true,signal_coverage_gap,1301
J157,C,10,MTU,LAR,false,true,false,false,false,true,signal_coverage_gap,1303
J158,C,10,MVA,TOYBE,false,true,false,false,false,true,signal_coverage_gap,1307
J16,C,40,PDT,CHASS,false,true,false,false,false,true,signal_coverage_gap,1322
J16,C,80,BIL,RECAP,false,true,false,false,false,true,signal_coverage_gap,1326
J160,A,20,AYKID,FYU,false,false,false,true,false,true,dogleg_turn_point,1338
J162,C,10,DJB,GAABE,false,false,true,false,false,true,mea_unusable,1343
J162,C,20,GAABE,MAINE,false,false,true,false,false,true,mea_unusable,1344
J162,C,30,MAINE,SPOOL,false,false,true,false,false,true,mea_unusable,1345
J162,C,40,SPOOL,AIR,false,false,true,false,false,true,mea_unusable,1346
J166,C,30,CME,DUMPS,false,true,false,false,false,true,signal_coverage_gap,1360
J168,C,10,SPS,LAA,false,true,false,false,false,true,signal_coverage_gap,1370
J169,C,70,KOFFA,TFD,false,false,false,true,false,true,dogleg_turn_point,1378
J171,C,20,TODDE,HGO,false,false,false,true,false,true,dogleg_turn_point,1396
J175,C,20,LAR,DBS,false,true,false,false,false,true,signal_coverage_gap,1402
J18,C,70,MOHAK,JUDTH,false,false,false,true,false,true,dogleg_turn_point,1416
J182,C,20,KIRKE,RASCL,false,false,false,true,false,true,dogleg_turn_point,1442
J182,C,70,COODY,RZC,false,false,false,true,false,true,dogleg_turn_point,1447
J188,A,20,CERGU,SQA,false,false,false,true,false,true,dogleg_turn_point,1456
J189,C,20,LIN,LMT,false,true,false,false,false,true,signal_coverage_gap,1459
J189,C,30,LMT,HRMNS,false,true,false,false,false,true,signal_coverage_gap,1460
