airwayKey,airwayPathKey,anyGapActive,gapFlagRaw,signalGapFlagRaw,doglegRaw,sourceTable,rowCount,sampleFromPointKeys,sampleToPointKeys,sampleSourceRowIds
AIRWAY:Q842,AIRWAY_PATH:Q842:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFXHJ:K1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4932
AIRWAY:Q844,AIRWAY_PATH:Q844:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:VIBRU:K6,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4935
AIRWAY:Q848,AIRWAY_PATH:Q848:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFZJP:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,4939
AIRWAY:Q864,AIRWAY_PATH:Q864:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:FIX:EBGIX:K6,4960
AIRWAY:Q864,AIRWAY_PATH:Q864:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:TUGUB:K6,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,4962
AIRWAY:Q902,AIRWAY_PATH:Q902:A,false,N,N,N,AWY_SEG_ALT,4,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:FIX:DISCO:K1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:WOGUS:PA,5054|5055|5044|5045
AIRWAY:Q902,AIRWAY_PATH:Q902:A,true,Y,N,Y,AWY_SEG_ALT,2,POINT:FIX:HIGHE:PA|POINT:FIX:AYZOL:PA,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,5053|5043
AIRWAY:Q905,AIRWAY_PATH:Q905:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFJBZ:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,5060
AIRWAY:Q907,AIRWAY_PATH:Q907:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:ATENE:K6,5066|5067
AIRWAY:Q907,AIRWAY_PATH:Q907:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:IMAMA:K6,POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,5069
AIRWAY:Q907,AIRWAY_PATH:Q907:C,true,Y,N,Y,AWY_SEG_ALT,1,POINT:FIX:GADAV:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-5,5065
AIRWAY:Q913,AIRWAY_PATH:Q913:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:FIX:RAKAM:K6,5071
AIRWAY:Q917,AIRWAY_PATH:Q917:C,false,N,N,N,AWY_SEG_ALT,4,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:CFRCC:K5|POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:FIX:CFSKX:K6,5077|5078|5081|5082
AIRWAY:Q917,AIRWAY_PATH:Q917:C,true,Y,N,N,AWY_SEG_ALT,2,POINT:FIX:CFNBP:K5|POINT:FIX:CFPWF:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,5076|5080
AIRWAY:Q923,AIRWAY_PATH:Q923:C,false,N,N,N,AWY_SEG_ALT,1,POINT:FIX:CFNBB:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,5093
AIRWAY:Q924,AIRWAY_PATH:Q924:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:BEKRR:K3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,5103
AIRWAY:Q935,AIRWAY_PATH:Q935:C,false,N,N,N,AWY_SEG_ALT,2,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:FIX:CFTBR:K6,5131|5132
AIRWAY:Q935,AIRWAY_PATH:Q935:C,true,Y,N,N,AWY_SEG_ALT,1,POINT:FIX:CFRCN:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,5130
AIRWAY:Q937,AIRWAY_PATH:Q937:C,false,N,N,N,AWY_SEG_ALT,1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2,POINT:FIX:TULEG:K6,5142
AIRWAY:Q945,AIRWAY_PATH:Q945:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:OSMEE:K3,POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,5150
AIRWAY:Q951,AIRWAY_PATH:Q951:C,false,N,N,N,AWY_SEG_ALT,4,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1,POINT:BOUNDARY:U.S._CANADIAN_BORDER-3|POINT:FIX:KERVO:K6|POINT:BOUNDARY:U.S._CANADIAN_BORDER-1|POINT:FIX:KATEK:K6,5162|5163|5156|5157
AIRWAY:Q951,AIRWAY_PATH:Q951:C,false,N,N,Y,AWY_SEG_ALT,1,POINT:FIX:DANOL:K6,POINT:BOUNDARY:U.S._CANADIAN_BORDER-5,5165
AIRWAY:Q951,AIRWAY_PATH:Q951:C,true,Y,N,Y,AWY_SEG_ALT,2,POINT:FIX:TALNO:K6|POINT:FIX:GADAV:K5,POINT:BOUNDARY:U.S._CANADIAN_BORDER-2|POINT:BOUNDARY:U.S._CANADIAN_BORDER-4,5161|5155
