procedureKey,procedureType,variantCount,matchedVariantCount,connectedMatchedVariantCount,notConnectedMatchedVariantCount,uniqueInterfacePointCount,connectedInterfacePointCount,hasAnyMatchedVariant,hasAnyConnectedMatchedVariant,allMatchedVariantsUnconnected,onlyIncompleteVariants
PROCEDURE:DP:EBSIH1.EBSIH,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ECHHO2.ECHHO,DP,4,4,2,2,2,1,true,true,false,false
PROCEDURE:DP:ECHOO1.ECHOO,DP,4,4,2,2,4,2,true,true,false,false
PROCEDURE:DP:ECLPS1.ECLPS,DP,2,2,0,2,1,0,true,false,true,false
PROCEDURE:DP:EDGGE1.EDGGE,DP,4,4,3,1,4,3,true,true,false,false
PROCEDURE:DP:EDUKY5.EDUKY,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EEMOS5.EEMOS,DP,4,4,0,4,1,0,true,false,true,false
PROCEDURE:DP:EEONS8.WYNDM,DP,4,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EEVAA1.EEVAA,DP,5,5,0,5,1,0,true,false,true,false
PROCEDURE:DP:EGAXE1.EGAXE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EKN1.EKN,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EKR4.EKR,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ELANR9.ELANR,DP,3,3,0,3,3,0,true,false,true,false
PROCEDURE:DP:ELB5.ELB,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:ELD1.ELD,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ELIZZ1.ELIZZ,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ELMAA5.ELMAA,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:ELMOO9.ELMOO,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ELOCO6.ELOCO,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:ELOEL3.ELOEL,DP,3,3,1,2,3,1,true,true,false,false
PROCEDURE:DP:ELVIS4.MEM,DP,18,0,0,0,18,0,false,false,false,true
PROCEDURE:DP:ELY2.ELY,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EMMTT4.EMMTT,DP,18,18,3,15,6,1,true,true,false,false
PROCEDURE:DP:EMMYS8.ZIRKL,DP,4,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EMONT3.EMONT,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ENDED2.ENDED,DP,4,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ENI1.ENI,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ENNIS2.ENNIS,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:ENV1.BVL,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EPH1.EPH,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EPKEE7.EPKEE,DP,6,6,3,3,2,1,true,true,false,false
PROCEDURE:DP:ESNYE7.ESNYE,DP,33,33,15,18,11,5,true,true,false,false
PROCEDURE:DP:ESTRR6.ESTRR,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:EXBOX2.EXBOX,DP,1,1,1,0,1,1,true,true,false,false
PROCEDURE:DP:EXCON1.EXCON,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EXTAN7.SHAYK,DP,3,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EXTVE1.PLFMD,DP,3,3,3,0,3,3,true,true,false,false
PROCEDURE:DP:EYAKS6.EYAKS,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EYESE2.EYESE,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:EZEPU1.EZEPU,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FAHLZ1.FAHLZ,DP,3,3,1,2,3,1,true,true,false,false
PROCEDURE:DP:FAKES4.FAKES,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FALCC1.FALCC,DP,4,4,4,0,2,2,true,true,false,false
PROCEDURE:DP:FALL1.VISTA,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FARM7.UBG,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FATHE4.FATHE,DP,5,5,5,0,1,1,true,true,false,false
PROCEDURE:DP:FBR1.FBR,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FEALX2.FEALX,DP,24,24,24,0,6,6,true,true,false,false
PROCEDURE:DP:FEGBA3.FEGBA,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FESKO1.FESKO,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FETUJ3.FETUJ,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FFITZ4.FFITZ,DP,2,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FFU9.FFU,DP,4,4,4,0,4,4,true,true,false,false
PROCEDURE:DP:FICHU4.HABXU,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FINZZ3.FINZZ,DP,5,5,4,1,5,4,true,true,false,false
PROCEDURE:DP:FIROS1.FIROS,DP,1,0,0,0,1,0,false,false,false,true
PROCEDURE:DP:FIXET5.FIXET,DP,35,35,15,20,7,3,true,true,false,false
PROCEDURE:DP:FLAME4.FLAME,DP,3,3,0,3,1,0,true,false,true,false
