fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
TEMPLATE:PFR:ACY:PIT:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,156
TEMPLATE:PFR:ACY:PNE:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,157
TEMPLATE:PFR:ACY:PVC:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,158
TEMPLATE:PFR:ACY:PVD:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,159
TEMPLATE:PFR:ACY:PWM:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,160
TEMPLATE:PFR:ACY:RDG:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,161
TEMPLATE:PFR:ACY:RDU:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,162
TEMPLATE:PFR:ACY:RSW:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,163
TEMPLATE:PFR:ACY:RSW:H:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,164
TEMPLATE:PFR:ACY:RSW:H:3,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,165
TEMPLATE:PFR:ACY:SBY:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,166
TEMPLATE:PFR:ACY:TAN:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,167
TEMPLATE:PFR:ACY:TEB:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,168
TEMPLATE:PFR:ACY:TPA:H:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,169
TEMPLATE:PFR:ACY:TPA:H:2,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,170
TEMPLATE:PFR:ACY:WRI:TEC:1,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,171
TEMPLATE:PFR:ACY:WRI:TEC:3,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,172
TEMPLATE:PFR:ACY:WRI:TEC:4,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,173
TEMPLATE:PFR:ACY:WRI:TEC:5,AIRPORT:ACY,ACY,ACY,airport_id,resolved,high,2026-05-14,PFR_BASE,174
TEMPLATE:PFR:AIR:MRB:HPD:1,POINT:NAVAID:AIR:VOR/DME:US:OH:BELLAIRE,AIR,AIR,unique_id_fallback,resolved_navaid,medium,2026-05-14,PFR_BASE,175
TEMPLATE:PFR:AIR:TRIXY:HPD:1,POINT:NAVAID:AIR:VOR/DME:US:OH:BELLAIRE,AIR,AIR,unique_id_fallback,resolved_navaid,medium,2026-05-14,PFR_BASE,176
TEMPLATE:PFR:AJO:AVX:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,177
TEMPLATE:PFR:AJO:BUR:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,178
TEMPLATE:PFR:AJO:BUR:TEC:2,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,179
TEMPLATE:PFR:AJO:CMA:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,180
TEMPLATE:PFR:AJO:CMA:TEC:2,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,181
TEMPLATE:PFR:AJO:CRQ:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,182
TEMPLATE:PFR:AJO:FUL:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,183
TEMPLATE:PFR:AJO:HHR:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,184
TEMPLATE:PFR:AJO:LAX:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,185
TEMPLATE:PFR:AJO:LAX:TEC:2,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,186
TEMPLATE:PFR:AJO:LAX:TEC:3,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,187
TEMPLATE:PFR:AJO:LGB:TEC:1,AIRPORT:AJO,AJO,AJO,airport_id,resolved,high,2026-05-14,PFR_BASE,188
